"RET-YUZIYPAS-103"," Yuri's  Pottery - Green Pitcher","","48.00","0.075",
"RET-YUZIYPAS-104"," Yuri's  Pottery - Round Vase","","44.00","0.075",
"RET-YUZIYPAS-105"," Yuri's  Pottery - Wood Fired Bowl","","45.00","0.075",
"RET-NICOLELO-100","Adults Toothbrush","","7.00","0.075",
"RET-AGNES***-101","Agnes Lendech - Cards","","6.00","0.075",
"RET-AGNES***-102","Agnes Lendech - Postcard","","1.50","0.075",
"YHV-YUBAHARV-285","Airpot Of Coffee","","20.00","0.075",
"RET-ALINAART-100","Alina Art Decor - Rugs","","0.00","0.075",
"YHV-YUBAHARV-279","Almonds","","2.00","0.075",
"RET-AMYDAVIS-116","Amy's Pottery - Brown Tea Pot","","65.00","0.075",
"RET-AMYDAVIS-103","Amy's Pottery - Cheese Plate ","","20.00","0.075",
"RET-AMYDAVIS-108","Amy's Pottery - Cruet","","24.00","0.075",
"RET-AMYDAVIS-115","Amy's Pottery - Green Moon Tea Pot","","39.00","0.075",
"RET-AMYDAVIS-102","Amy's Pottery - Medium Bowl","","26.00","0.075",
"RET-AMYDAVIS-110","Amy's Pottery - Medium Bowl, Decorated","","32.00","0.075",
"RET-AMYDAVIS-123","Amy's Pottery - Molded Bowls","","39.00","0.075",
"RET-AMYDAVIS-104","Amy's Pottery - Mug","","18.00","0.075",
"RET-AMYDAVIS-114","Amy's Pottery - Pointed Lid","","46.00","0.075",
"RET-AMYDAVIS-117","Amy's Pottery - Prep Bowls","","17.00","0.075",
"RET-AMYDAVIS-122","Amy's Pottery - Pumpkin Bowl","","39.00","0.075",
"RET-AMYDAVIS-127","Amy's Pottery - Small Cre T","","12.00","0.075",
"RET-AMYDAVIS-113","Amy's Pottery - Small Rounded Vase","","39.00","0.075",
"RET-AMYDAVIS-109","Amy's Pottery - Small Teapot","","32.00","0.075",
"RET-AMYDAVIS-120","Amy's Pottery - Small Urn","","52.00","0.075",
"RET-AMYDAVIS-125","Amy's Pottery - Tea Bowl","","18.00","0.075",
"RET-AMYDAVIS-118","Amy's Pottery - Tea Bowls (set of two)","","26.00","0.075",
"RET-AMYDAVIS-100","Amy's Pottery - Teapot w/ Tea Bowls","","54.00","0.075",
"RET-AMYDAVIS-119","Amy's Pottery - Vase","","39.00","0.075",
"RET-AMYDAVIS-124","Amy's Pottery - White & Turquoise Tea Pot","","46.00","0.075",
